CODGEO,LIBGEO,EMPL11_SEXE1_TP1,EMPL11_SEXE1_TP2,EMPL11_SEXE2_TP1,EMPL11_SEXE2_TP2,EMPL12_SEXE1_TP1,EMPL12_SEXE1_TP2,EMPL12_SEXE2_TP1,EMPL12_SEXE2_TP2,EMPL13_SEXE1_TP1,EMPL13_SEXE1_TP2,EMPL13_SEXE2_TP1,EMPL13_SEXE2_TP2,EMPL14_SEXE1_TP1,EMPL14_SEXE1_TP2,EMPL14_SEXE2_TP1,EMPL14_SEXE2_TP2,EMPL15_SEXE1_TP1,EMPL15_SEXE1_TP2,EMPL15_SEXE2_TP1,EMPL15_SEXE2_TP2,EMPL16_SEXE1_TP1,EMPL16_SEXE1_TP2,EMPL16_SEXE2_TP1,EMPL16_SEXE2_TP2,EMPL21_SEXE1_TP1,EMPL21_SEXE1_TP2,EMPL21_SEXE2_TP1,EMPL21_SEXE2_TP2,EMPL22_SEXE1_TP1,EMPL22_SEXE1_TP2,EMPL22_SEXE2_TP1,EMPL22_SEXE2_TP2,EMPL23_SEXE1_TP1,EMPL23_SEXE1_TP2,EMPL23_SEXE2_TP1,EMPL23_SEXE2_TP2,EMPLOI
01038,Bény,0,0,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,3,5,9,16,0,25,4,10,0,0,0,5,0,0,0,0,0,0,0,88
01039,Béon,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,39,0,34,4,0,0,0,0,5,0,0,0,0,0,0,0,104
01040,Béréziat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,10,14,30,0,0,0,5,0,0,0,0,0,0,0,76
01041,Bettant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,13,12,8,0,0,0,0,0,0,0,0,0,0,0,45
01042,Bey,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,0,9,10,14,0,0,0,5,0,0,0,0,0,0,0,56
01043,Beynost,28,20,18,12,48,4,65,1,4,0,0,10,0,8,0,0,41,26,75,86,1250,63,911,307,59,0,40,0,117,10,31,0,0,0,5,0,3238
01044,Billiat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,26,0,16,8,8,0,4,0,4,0,0,0,0,0,0,0,75
01045,Birieux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,13,0,16,0,0,0,4,0,0,0,0,0,0,0,58
01046,Biziat,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,14,8,8,8,8,0,13,0,4,0,8,0,0,0,0,0,92
01047,Blyes,10,8,0,11,19,5,35,5,0,11,0,11,0,0,0,0,6,4,27,0,527,14,229,72,14,0,5,5,25,0,5,0,0,0,0,19,1066
01049,La Boisse,0,10,0,1,6,5,0,4,5,0,0,0,0,0,0,0,12,0,14,10,360,24,190,140,44,10,10,3,54,0,5,10,0,0,0,0,917
01050,Boissey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0,5,0,0,0,0,0,0,0,19
01051,Bolozon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
01052,Bouligneux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,7,0,0,0,4,0,4,0,0,0,0,0,0,0,36
01053,Bourg-en-Bresse,236,100,227,73,228,39,112,56,80,53,10,90,15,0,43,3,633,220,815,569,10901,520,10144,3693,452,41,283,78,633,20,177,25,0,3,5,6,30584
01054,Bourg-Saint-Christophe,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,30,8,29,25,20,4,4,4,4,0,0,0,0,0,0,0,146
01056,Boyeux-Saint-Jérôme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,16,0,4,0,0,0,4,0,0,0,0,0,38
01057,Boz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,5,14,0,0,0,9,0,0,0,0,0,0,0,55
01058,Brégnier-Cordon,10,0,0,0,24,0,10,0,0,0,0,0,0,0,0,0,5,0,4,0,76,0,41,13,20,0,20,5,5,0,0,0,0,0,0,0,234
01059,Brénaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,14,0,0,0,8,0,0,0,0,0,0,0,30
01060,Brénod,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,36,0,16,4,4,0,0,0,12,0,0,0,0,0,0,0,81
01061,Brens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,20,10,10,5,5,0,5,0,0,0,0,0,0,0,105
01062,Bressolles,0,0,0,1,5,0,3,0,0,0,0,0,0,0,0,0,5,4,13,0,105,9,59,5,13,0,8,4,13,0,8,0,0,0,0,4,259
01063,Brion,10,0,0,0,32,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,253,0,89,15,5,0,0,4,24,0,0,0,0,0,0,0,450
01064,Briord,11,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,3,0,224,5,183,53,15,5,5,5,0,0,0,0,0,0,0,0,518
